client_device_id, server_device_id, phone_vendor, bt_version, bt_vendor, mtu, comm_method, conn_int, jitter,group_ts
NPN25.137-33, QQ1A.191205.008, unknown, unknown, unknown,250, write_req,2,40276817138,20200626022320
NPN25.137-33, QQ1A.191205.008, unknown, unknown, unknown,250, write_req,2,41397455478,20200626022320
NPN25.137-33, QQ1A.191205.008, unknown, unknown, unknown,250, write_req,2,42511790433,20200626022320
NPN25.137-33, QQ1A.191205.008, unknown, unknown, unknown,250, write_req,2,43624930648,20200626022320
NPN25.137-33, QQ1A.191205.008, unknown, unknown, unknown,250, write_req,2,44741418364,20200626022320
NPN25.137-33, QQ1A.191205.008, unknown, unknown, unknown,250, write_req,2,45854011964,20200626022320
NPN25.137-33, QQ1A.191205.008, unknown, unknown, unknown,250, write_req,2,46718097727,20200626022320
NPN25.137-33, QQ1A.191205.008, unknown, unknown, unknown,250, write_req,2,47710516784,20200626022320
NPN25.137-33, QQ1A.191205.008, unknown, unknown, unknown,250, write_req,2,48821320801,20200626022320
NPN25.137-33, QQ1A.191205.008, unknown, unknown, unknown,250, write_req,2,49936139246,20200626022320
NPN25.137-33, QQ1A.191205.008, unknown, unknown, unknown,250, write_req,2,50805483812,20200626022320
NPN25.137-33, QQ1A.191205.008, unknown, unknown, unknown,250, write_req,2,51794811566,20200626022320
NPN25.137-33, QQ1A.191205.008, unknown, unknown, unknown,250, write_req,2,52535863047,20200626022320
